source,record_key,reason,raw_record
order_items.csv,P0005/O000017/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000017"",""line_no"":1,""product_id"":""P0005"",""quantity"":3,""unit_price"":45000,""discount_rate"":0.05}"
order_items.csv,P0022/O000017/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000017"",""line_no"":2,""product_id"":""P0022"",""quantity"":3,""unit_price"":18000,""discount_rate"":0.0}"
order_items.csv,P0002/O000017/3,invalid quantity/price/discount or orphan key,"{""order_id"":""O000017"",""line_no"":3,""product_id"":""P0002"",""quantity"":3,""unit_price"":54000,""discount_rate"":0.0}"
order_items.csv,P0002/O000017/4,invalid quantity/price/discount or orphan key,"{""order_id"":""O000017"",""line_no"":4,""product_id"":""P0002"",""quantity"":3,""unit_price"":54000,""discount_rate"":0.0}"
order_items.csv,P0018/O000022/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000022"",""line_no"":1,""product_id"":""P0018"",""quantity"":3,""unit_price"":59000,""discount_rate"":1.2}"
order_items.csv,P0003/O000033/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000033"",""line_no"":1,""product_id"":""P0003"",""quantity"":2,""unit_price"":89000,""discount_rate"":0.0}"
order_items.csv,P0023/O000033/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000033"",""line_no"":2,""product_id"":""P0023"",""quantity"":1,""unit_price"":21000,""discount_rate"":0.05}"
order_items.csv,P0014/O000033/3,invalid quantity/price/discount or orphan key,"{""order_id"":""O000033"",""line_no"":3,""product_id"":""P0014"",""quantity"":2,""unit_price"":16000,""discount_rate"":0.05}"
order_items.csv,P0021/O000033/4,invalid quantity/price/discount or orphan key,"{""order_id"":""O000033"",""line_no"":4,""product_id"":""P0021"",""quantity"":3,""unit_price"":49000,""discount_rate"":0.0}"
order_items.csv,P0007/O000075/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000075"",""line_no"":1,""product_id"":""P0007"",""quantity"":2,""unit_price"":29000,""discount_rate"":0.05}"
order_items.csv,P0004/O000085/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000085"",""line_no"":1,""product_id"":""P0004"",""quantity"":1,""unit_price"":329000,""discount_rate"":1.2}"
order_items.csv,P0016/O000113/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000113"",""line_no"":1,""product_id"":""P0016"",""quantity"":1,""unit_price"":42000,""discount_rate"":0.0}"
order_items.csv,P0008/O000113/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000113"",""line_no"":2,""product_id"":""P0008"",""quantity"":2,""unit_price"":32000,""discount_rate"":0.0}"
order_items.csv,P0005/O000140/4,invalid quantity/price/discount or orphan key,"{""order_id"":""O000140"",""line_no"":4,""product_id"":""P0005"",""quantity"":3,""unit_price"":45000,""discount_rate"":1.2}"
order_items.csv,P0018/O000200/3,invalid quantity/price/discount or orphan key,"{""order_id"":""O000200"",""line_no"":3,""product_id"":""P0018"",""quantity"":1,""unit_price"":59000,""discount_rate"":1.2}"
order_items.csv,P0006/O000270/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000270"",""line_no"":1,""product_id"":""P0006"",""quantity"":1,""unit_price"":38000,""discount_rate"":1.2}"
order_items.csv,P0021/O000287/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000287"",""line_no"":1,""product_id"":""P0021"",""quantity"":2,""unit_price"":49000,""discount_rate"":0.0}"
order_items.csv,P0015/O000287/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000287"",""line_no"":2,""product_id"":""P0015"",""quantity"":2,""unit_price"":22000,""discount_rate"":0.0}"
order_items.csv,P0024/O000287/3,invalid quantity/price/discount or orphan key,"{""order_id"":""O000287"",""line_no"":3,""product_id"":""P0024"",""quantity"":2,""unit_price"":36000,""discount_rate"":0.0}"
order_items.csv,P0013/O000287/4,invalid quantity/price/discount or orphan key,"{""order_id"":""O000287"",""line_no"":4,""product_id"":""P0013"",""quantity"":3,""unit_price"":28000,""discount_rate"":0.0}"
order_items.csv,P0012/O000317/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000317"",""line_no"":2,""product_id"":""P0012"",""quantity"":3,""unit_price"":39000,""discount_rate"":1.2}"
order_items.csv,P0010/O000323/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000323"",""line_no"":1,""product_id"":""P0010"",""quantity"":2,""unit_price"":48000,""discount_rate"":0.0}"
order_items.csv,P0025/O000323/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000323"",""line_no"":2,""product_id"":""P0025"",""quantity"":2,""unit_price"":15000,""discount_rate"":0.0}"
order_items.csv,P0011/O000333/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000333"",""line_no"":1,""product_id"":""P0011"",""quantity"":2,""unit_price"":24000,""discount_rate"":0.0}"
order_items.csv,P0005/O000333/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000333"",""line_no"":2,""product_id"":""P0005"",""quantity"":1,""unit_price"":45000,""discount_rate"":0.0}"
order_items.csv,P0025/O000341/4,invalid quantity/price/discount or orphan key,"{""order_id"":""O000341"",""line_no"":4,""product_id"":""P0025"",""quantity"":1,""unit_price"":15000,""discount_rate"":1.2}"
order_items.csv,P0024/O000345/3,invalid quantity/price/discount or orphan key,"{""order_id"":""O000345"",""line_no"":3,""product_id"":""P0024"",""quantity"":1,""unit_price"":36000,""discount_rate"":1.2}"
order_items.csv,P0024/O000362/3,invalid quantity/price/discount or orphan key,"{""order_id"":""O000362"",""line_no"":3,""product_id"":""P0024"",""quantity"":3,""unit_price"":36000,""discount_rate"":1.2}"
order_items.csv,P0021/O000375/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000375"",""line_no"":1,""product_id"":""P0021"",""quantity"":3,""unit_price"":49000,""discount_rate"":1.2}"
order_items.csv,P0011/O000398/2,invalid quantity/price/discount or orphan key,"{""order_id"":""O000398"",""line_no"":2,""product_id"":""P0011"",""quantity"":3,""unit_price"":24000,""discount_rate"":1.2}"
order_items.csv,P0007/O000403/4,invalid quantity/price/discount or orphan key,"{""order_id"":""O000403"",""line_no"":4,""product_id"":""P0007"",""quantity"":3,""unit_price"":29000,""discount_rate"":1.2}"
order_items.csv,P0009/O000419/1,invalid quantity/price/discount or orphan key,"{""order_id"":""O000419"",""line_no"":1,""product_id"":""P0009"",""quantity"":0,""unit_price"":27000,""discount_rate"":0.0}"
